cod_lez,cod_corso_l,cod_tess_ins_lez,tipo_lez,data_lez,durata_lez
45922,71708,61377,Single,23-Feb-2019,2
43945,71708,61377,Single,02-Sep-2019,3
91877,71708,61377,Group,21-Sep-2019,1.5
07023,71708,61377,Single,09-May-2019,1.5
76259,71708,61377,Single,30-Jan-2019,2
42041,71708,61377,Group,07-Apr-2019,1.5
80462,71708,61377,Group,25-Mar-2019,2
51388,71708,61377,Single,22-Jan-2019,5
83977,71708,61377,Single,18-Jul-2019,1.5
92838,71708,61377,Single,24-Jun-2019,2
92498,71708,61377,Single,18-Feb-2019,3
05801,71708,61377,Group,02-Jul-2019,1.5
28943,71708,61377,Single,28-Apr-2019,1.5
98028,71708,61377,Group,06-Mar-2019,2
47928,71708,61377,Group,20-Mar-2019,5
07330,71708,61377,Group,10-Mar-2019,1.5
01908,71708,61377,Single,30-Sep-2019,3
53781,71708,61377,Group,22-Jan-2019,5
51008,71708,61377,Group,10-May-2019,2
78364,71708,61377,Group,11-Jun-2019,3
00967,71708,61377,Single,21-Jan-2019,3
03713,71708,61377,Group,16-Jun-2019,2
98908,71708,61377,Group,25-Jan-2019,1.5
07551,71708,61377,Group,06-Apr-2019,1.5
69030,71708,61377,Group,24-Feb-2019,5
57947,71708,61377,Single,11-Jun-2019,5
54840,71708,61377,Single,10-Feb-2019,2
56891,71708,61377,Group,21-Jan-2019,3
43146,71708,61377,Group,17-Feb-2019,2
14416,71708,61377,Single,24-Feb-2019,2
71602,71708,61377,Group,03-Mar-2019,3
28830,71708,61377,Single,17-Feb-2019,5
55180,71708,61377,Group,29-Sep-2019,5
79838,71708,61377,Group,02-Apr-2019,5
14338,71708,61377,Single,26-Feb-2019,1.5
53826,71708,61377,Single,28-Feb-2019,1.5
78044,71708,61377,Group,09-Sep-2019,2
22969,71708,61377,Group,19-Feb-2019,1.5
75924,71708,61377,Group,29-Mar-2019,1.5
56754,71708,61377,Group,07-Mar-2019,2
27114,71708,61377,Group,20-Sep-2019,1.5
29080,71708,61377,Group,13-Aug-2019,5
62658,71708,61377,Group,10-Oct-2019,1.5
61175,71708,61377,Group,12-Mar-2019,5
65969,71708,61377,Group,15-Jan-2019,3
18914,71708,61377,Single,27-Sep-2019,1.5
01372,71708,61377,Single,19-May-2019,1.5
86904,71708,61377,Group,13-Jul-2019,2
57550,71708,61377,Single,10-Aug-2019,3
87938,71708,61377,Group,09-Aug-2019,5
56617,71708,61377,Group,21-Mar-2019,5
14551,71708,61377,Single,18-Jan-2019,5
06307,71708,61377,Group,03-Oct-2019,1.5
08903,71708,61377,Single,15-Jun-2019,2
59038,71708,61377,Single,11-Feb-2019,5
91347,71708,61377,Group,27-Apr-2019,1.5
87664,71708,61377,Single,05-May-2019,3
18838,71708,61377,Single,05-Jul-2019,1.5
65090,71708,61377,Group,08-Jul-2019,3
10700,71708,61377,Group,19-May-2019,2
72695,71708,61377,Group,10-Apr-2019,2
76635,71708,61377,Single,22-May-2019,3
39830,71708,61377,Single,14-Apr-2019,2
38566,71708,61377,Single,25-Jun-2019,5
04476,71708,61377,Group,17-Sep-2019,1.5
10710,71708,61377,Single,07-Sep-2019,1.5
92460,71708,61377,Single,07-May-2019,5
34896,71708,61377,Group,15-Mar-2019,3
89169,71708,61377,Single,03-Aug-2019,2
81971,71708,61377,Single,21-Jan-2019,3
56874,71708,61377,Group,20-Jul-2019,5
14515,71708,61377,Group,24-Feb-2019,3
47712,71708,61377,Single,20-Mar-2019,5
26304,71708,61377,Single,05-Jun-2019,5
34603,71708,61377,Single,07-Jul-2019,5
01749,71708,61377,Group,26-Jul-2019,2
83506,71708,61377,Group,28-Jan-2019,5
29500,71708,61377,Single,25-Apr-2019,1.5
07945,71708,61377,Single,21-Jun-2019,5
58942,71708,61377,Group,30-Mar-2019,3
19915,71708,61377,Single,05-Oct-2019,2
37667,71708,61377,Single,12-Feb-2019,5
19532,71708,61377,Group,07-Aug-2019,1.5
87792,71708,61377,Single,07-Mar-2019,2
71759,71708,61377,Single,12-Mar-2019,1.5
40720,71708,61377,Single,21-Jan-2019,1.5
50522,71708,61377,Group,28-Feb-2019,3
60929,71708,61377,Group,06-Mar-2019,3
12376,71708,61377,Group,31-May-2019,5
74136,71708,61377,Group,19-Aug-2019,5
43264,71708,61377,Single,18-Sep-2019,5
27106,71708,61377,Single,13-Apr-2019,1.5
22593,71708,61377,Single,15-Oct-2019,1.5
53787,71708,61377,Single,26-Jul-2019,2
92612,71708,61377,Group,08-Jun-2019,2
74101,71708,61377,Group,02-Jul-2019,5
43131,71708,61377,Group,11-Feb-2019,1.5
52342,71708,61377,Group,18-Apr-2019,2
89657,71708,61377,Single,06-Aug-2019,2
45852,71708,61377,Group,03-Feb-2019,2
