cod_lez,cod_corso_l,cod_tess_ins_lez,tipo_lez,data_lez,durata_lez
30468,48130,26344,Group,14-Jul-2019,3
19753,48130,26344,Single,21-Jan-2019,3
95389,48130,26344,Single,10-Sep-2019,3
61434,48130,26344,Group,23-Jun-2019,2
58177,48130,26344,Group,03-Sep-2019,1.5
33296,48130,26344,Single,14-Oct-2019,5
41650,48130,26344,Group,06-Aug-2019,3
02205,48130,26344,Single,11-Aug-2019,3
46339,48130,26344,Single,06-May-2019,2
00449,48130,26344,Group,11-Sep-2019,3
81346,48130,26344,Single,25-Jun-2019,2
21703,48130,26344,Group,25-Apr-2019,1.5
22895,48130,26344,Group,25-Jan-2019,1.5
61114,48130,26344,Single,05-May-2019,3
09489,48130,26344,Group,28-Jun-2019,2
84119,48130,26344,Single,17-Sep-2019,3
79886,48130,26344,Group,21-Mar-2019,2
92192,48130,26344,Group,05-Mar-2019,1.5
69361,48130,26344,Single,16-Feb-2019,3
72738,48130,26344,Single,12-Jun-2019,3
13719,48130,26344,Single,25-Apr-2019,3
15956,48130,26344,Group,15-Aug-2019,3
72812,48130,26344,Group,21-Aug-2019,3
87983,48130,26344,Group,16-Feb-2019,5
94302,48130,26344,Group,14-Feb-2019,5
43255,48130,26344,Group,05-Jul-2019,5
49876,48130,26344,Group,28-Mar-2019,1.5
51594,48130,26344,Single,17-Jul-2019,5
50432,48130,26344,Group,12-Feb-2019,5
28021,48130,26344,Group,25-Apr-2019,1.5
03051,48130,26344,Group,14-May-2019,5
84994,48130,26344,Single,19-Sep-2019,1.5
08823,48130,26344,Group,09-Aug-2019,1.5
35662,48130,26344,Group,30-May-2019,5
16400,48130,26344,Single,21-Aug-2019,2
09346,48130,26344,Group,01-Feb-2019,1.5
05327,48130,26344,Group,04-Mar-2019,3
71792,48130,26344,Single,21-Feb-2019,1.5
09340,48130,26344,Group,10-Apr-2019,3
70148,48130,26344,Group,09-May-2019,1.5
77617,48130,26344,Group,19-Aug-2019,2
00070,48130,26344,Group,27-Aug-2019,2
73443,48130,26344,Group,11-Apr-2019,5
51560,48130,26344,Group,05-Mar-2019,5
74856,48130,26344,Group,05-Apr-2019,5
92375,48130,26344,Group,24-Apr-2019,1.5
93307,48130,26344,Group,19-Jul-2019,1.5
79839,48130,26344,Group,25-Aug-2019,5
97401,48130,26344,Single,28-Mar-2019,1.5
55501,48130,26344,Single,26-Aug-2019,1.5
58228,48130,26344,Group,06-Sep-2019,3
53191,48130,26344,Single,20-Mar-2019,2
58024,48130,26344,Group,03-Feb-2019,1.5
74259,48130,26344,Single,21-Jun-2019,2
13072,48130,26344,Group,15-Jun-2019,2
61419,48130,26344,Group,09-Jun-2019,1.5
43505,48130,26344,Group,07-Mar-2019,2
42688,48130,26344,Group,22-Apr-2019,1.5
24868,48130,26344,Group,22-Jan-2019,3
90536,48130,26344,Group,30-Jan-2019,5
19634,48130,26344,Group,25-Jun-2019,2
66736,48130,26344,Group,18-Jul-2019,5
55734,48130,26344,Single,22-Jul-2019,2
76031,48130,26344,Single,26-Jul-2019,1.5
24503,48130,26344,Group,09-Jun-2019,2
11783,48130,26344,Group,15-May-2019,1.5
54868,48130,26344,Group,13-Mar-2019,5
58480,48130,26344,Single,22-Aug-2019,5
47849,48130,26344,Group,21-Jun-2019,1.5
96763,48130,26344,Single,14-Jul-2019,2
79714,48130,26344,Single,27-Mar-2019,5
66730,48130,26344,Group,02-Aug-2019,3
30216,48130,26344,Single,17-May-2019,3
66199,48130,26344,Group,13-May-2019,1.5
04535,48130,26344,Group,07-Mar-2019,2
12786,48130,26344,Group,18-Mar-2019,3
40860,48130,26344,Single,29-Aug-2019,1.5
83153,48130,26344,Single,22-Apr-2019,1.5
10840,48130,26344,Single,14-Oct-2019,5
86585,48130,26344,Group,14-Apr-2019,2
46105,48130,26344,Single,24-Jul-2019,2
60571,48130,26344,Single,02-Oct-2019,1.5
44096,48130,26344,Single,19-Jul-2019,1.5
73247,48130,26344,Single,08-Mar-2019,2
98689,48130,26344,Single,12-May-2019,5
29037,48130,26344,Group,07-Apr-2019,5
30706,48130,26344,Single,01-Jul-2019,1.5
68515,48130,26344,Single,20-May-2019,3
44483,48130,26344,Group,20-Sep-2019,3
22295,48130,26344,Group,06-Jun-2019,5
48538,48130,26344,Group,17-Mar-2019,1.5
43053,48130,26344,Group,05-Aug-2019,2
77842,48130,26344,Single,29-Aug-2019,3
21583,48130,26344,Group,14-Jul-2019,1.5
64652,48130,26344,Single,26-May-2019,3
84282,48130,26344,Group,15-Jul-2019,5
12999,48130,26344,Single,26-Jul-2019,5
92206,48130,26344,Group,14-Aug-2019,3
89710,48130,26344,Single,19-Jun-2019,1.5
90747,48130,26344,Group,09-Oct-2019,2
