cod_lez,cod_corso_l,cod_tess_ins_lez,tipo_lez,data_lez,durata_lez
67968,96033,34087,Single,07-Aug-2019,3
59520,96033,34087,Group,02-Mar-2019,2
47817,96033,34087,Group,08-Jul-2019,1.5
88807,96033,34087,Group,18-Aug-2019,2
14246,96033,34087,Group,17-Sep-2019,1.5
78013,96033,34087,Group,12-Sep-2019,5
12243,96033,34087,Group,07-Mar-2019,5
83295,96033,34087,Group,24-Feb-2019,1.5
54575,96033,34087,Single,04-Apr-2019,1.5
91719,96033,34087,Single,04-May-2019,1.5
82151,96033,34087,Group,24-Jun-2019,3
73235,96033,34087,Group,07-Aug-2019,3
87716,96033,34087,Single,10-Apr-2019,2
26108,96033,34087,Single,13-Apr-2019,3
78322,96033,34087,Single,01-Sep-2019,3
18458,96033,34087,Single,06-Mar-2019,5
47969,96033,34087,Single,17-Apr-2019,3
20763,96033,34087,Group,16-Feb-2019,3
28263,96033,34087,Group,08-Feb-2019,2
12133,96033,34087,Single,29-Jul-2019,1.5
39114,96033,34087,Group,10-Jun-2019,3
58054,96033,34087,Group,19-May-2019,3
13673,96033,34087,Group,19-Apr-2019,2
63094,96033,34087,Single,21-Mar-2019,1.5
57262,96033,34087,Group,30-Jan-2019,5
02281,96033,34087,Single,25-May-2019,3
86953,96033,34087,Group,14-Apr-2019,5
33721,96033,34087,Single,18-Apr-2019,2
22538,96033,34087,Group,19-Jan-2019,5
90854,96033,34087,Group,24-Feb-2019,5
92371,96033,34087,Single,16-Feb-2019,1.5
56416,96033,34087,Single,14-Aug-2019,5
49468,96033,34087,Single,07-Jun-2019,1.5
92247,96033,34087,Single,24-May-2019,1.5
34553,96033,34087,Group,25-Jan-2019,5
20551,96033,34087,Single,22-Jul-2019,2
36643,96033,34087,Group,01-Apr-2019,2
15501,96033,34087,Group,23-Mar-2019,2
98604,96033,34087,Group,15-Mar-2019,1.5
27217,96033,34087,Group,15-Mar-2019,1.5
83629,96033,34087,Group,17-Apr-2019,2
73616,96033,34087,Group,08-May-2019,2
13377,96033,34087,Single,29-Jul-2019,1.5
73840,96033,34087,Group,04-Sep-2019,3
64372,96033,34087,Single,05-Jul-2019,5
29876,96033,34087,Group,19-Aug-2019,1.5
10752,96033,34087,Group,11-Jul-2019,1.5
26701,96033,34087,Group,19-Sep-2019,3
99236,96033,34087,Group,03-Jul-2019,3
08643,96033,34087,Group,23-Feb-2019,2
38128,96033,34087,Group,07-Jan-2019,2
03540,96033,34087,Single,26-Aug-2019,3
59280,96033,34087,Single,23-Jan-2019,2
80718,96033,34087,Single,16-Jun-2019,1.5
32154,96033,34087,Single,22-Jan-2019,5
42009,96033,34087,Single,14-Jun-2019,5
83973,96033,34087,Group,21-Sep-2019,2
23726,96033,34087,Group,06-Aug-2019,3
11645,96033,34087,Group,28-Aug-2019,5
18561,96033,34087,Single,12-Apr-2019,2
04234,96033,34087,Group,29-Jan-2019,5
20283,96033,34087,Group,12-Jun-2019,1.5
19349,96033,34087,Single,07-Sep-2019,2
91004,96033,34087,Group,02-Mar-2019,2
35349,96033,34087,Group,21-Mar-2019,1.5
11329,96033,34087,Group,01-Feb-2019,5
91176,96033,34087,Group,23-Jul-2019,5
29674,96033,34087,Group,19-Sep-2019,2
91284,96033,34087,Group,05-Mar-2019,1.5
37258,96033,34087,Group,18-Jan-2019,2
64427,96033,34087,Group,28-Jul-2019,1.5
79843,96033,34087,Group,17-Jun-2019,2
28439,96033,34087,Group,03-Sep-2019,2
82236,96033,34087,Single,28-Apr-2019,2
35232,96033,34087,Single,15-Apr-2019,2
86750,96033,34087,Single,15-Feb-2019,2
15766,96033,34087,Group,17-Apr-2019,3
49330,96033,34087,Group,10-Sep-2019,1.5
51852,96033,34087,Group,17-Jun-2019,2
39612,96033,34087,Group,27-Jun-2019,5
21652,96033,34087,Group,18-May-2019,1.5
12370,96033,34087,Group,12-Feb-2019,5
55395,96033,34087,Single,16-Jul-2019,3
69567,96033,34087,Single,12-Sep-2019,1.5
45541,96033,34087,Single,09-Apr-2019,1.5
88296,96033,34087,Single,11-Feb-2019,1.5
34368,96033,34087,Group,07-Apr-2019,3
30008,96033,34087,Single,07-Sep-2019,2
24888,96033,34087,Single,22-Jan-2019,3
45472,96033,34087,Single,28-Feb-2019,5
06484,96033,34087,Single,07-Jan-2019,1.5
58648,96033,34087,Group,27-Jul-2019,1.5
70610,96033,34087,Group,30-May-2019,1.5
62222,96033,34087,Single,26-May-2019,3
94230,96033,34087,Single,07-Apr-2019,1.5
24732,96033,34087,Group,24-May-2019,5
12750,96033,34087,Single,12-Jan-2019,3
87413,96033,34087,Group,06-Feb-2019,5
71209,96033,34087,Single,04-Mar-2019,2
05593,96033,34087,Single,18-May-2019,1.5
