cod_lez,cod_corso_l,cod_tess_ins_lez,tipo_lez,data_lez,durata_lez
66117,63806,26344,Single,17-Aug-2019,5
14527,63806,26344,Single,20-Apr-2019,5
11999,63806,26344,Group,18-May-2019,2
57022,63806,26344,Group,14-Mar-2019,1.5
29316,63806,26344,Single,08-Jun-2019,3
40583,63806,26344,Group,13-Mar-2019,2
19842,63806,26344,Group,10-Feb-2019,3
17153,63806,26344,Single,22-Mar-2019,5
80421,63806,26344,Single,14-Jul-2019,3
79799,63806,26344,Group,03-Aug-2019,3
76420,63806,26344,Single,25-Jun-2019,5
51576,63806,26344,Group,09-Jun-2019,5
49980,63806,26344,Group,05-Jul-2019,1.5
97031,63806,26344,Single,11-Sep-2019,1.5
12791,63806,26344,Group,17-May-2019,3
13963,63806,26344,Single,25-Jun-2019,1.5
91286,63806,26344,Group,08-Jul-2019,5
72652,63806,26344,Single,20-May-2019,5
73262,63806,26344,Single,17-Aug-2019,1.5
28384,63806,26344,Single,08-Apr-2019,5
30155,63806,26344,Single,05-Jul-2019,1.5
02251,63806,26344,Group,03-Feb-2019,1.5
44120,63806,26344,Group,06-Apr-2019,2
54262,63806,26344,Group,11-Mar-2019,5
06956,63806,26344,Single,29-Jul-2019,3
55088,63806,26344,Single,25-Feb-2019,1.5
66696,63806,26344,Single,17-Aug-2019,1.5
47092,63806,26344,Single,14-Sep-2019,3
28588,63806,26344,Group,01-Apr-2019,5
60694,63806,26344,Group,17-Apr-2019,2
18768,63806,26344,Single,23-Jan-2019,2
35424,63806,26344,Single,23-Mar-2019,2
19377,63806,26344,Group,31-Jul-2019,3
46421,63806,26344,Single,27-Jan-2019,1.5
79730,63806,26344,Group,23-Jan-2019,2
75176,63806,26344,Group,28-Aug-2019,5
51204,63806,26344,Single,07-Jul-2019,3
97399,63806,26344,Group,13-Feb-2019,5
97727,63806,26344,Group,05-Sep-2019,1.5
27500,63806,26344,Single,20-Jul-2019,2
35643,63806,26344,Single,10-Jul-2019,3
36232,63806,26344,Single,03-Mar-2019,2
49683,63806,26344,Group,27-Apr-2019,3
69553,63806,26344,Group,12-Jul-2019,3
61158,63806,26344,Single,14-Jul-2019,2
34586,63806,26344,Group,27-Apr-2019,5
62729,63806,26344,Single,11-Apr-2019,5
50954,63806,26344,Group,22-Apr-2019,3
98853,63806,26344,Single,21-Jul-2019,3
26074,63806,26344,Single,11-Feb-2019,5
37424,63806,26344,Single,20-Aug-2019,1.5
01108,63806,26344,Single,20-Jul-2019,5
93923,63806,26344,Group,08-May-2019,2
69386,63806,26344,Group,04-Apr-2019,2
83045,63806,26344,Single,19-Jun-2019,1.5
06457,63806,26344,Single,02-May-2019,5
50779,63806,26344,Single,14-May-2019,5
91004,63806,26344,Group,05-May-2019,5
24280,63806,26344,Group,19-Apr-2019,5
22367,63806,26344,Single,11-Feb-2019,5
71162,63806,26344,Group,13-Jul-2019,2
12407,63806,26344,Group,07-Apr-2019,3
02692,63806,26344,Group,28-Aug-2019,2
86268,63806,26344,Group,12-May-2019,3
89401,63806,26344,Group,20-May-2019,2
85916,63806,26344,Group,10-Sep-2019,2
74858,63806,26344,Single,12-Mar-2019,5
17432,63806,26344,Single,24-Aug-2019,2
18320,63806,26344,Group,16-Apr-2019,1.5
15539,63806,26344,Group,13-Feb-2019,5
40631,63806,26344,Single,27-Jul-2019,5
81802,63806,26344,Single,18-Mar-2019,3
93042,63806,26344,Single,24-Jan-2019,1.5
00857,63806,26344,Single,08-Sep-2019,3
46179,63806,26344,Group,16-May-2019,2
41467,63806,26344,Group,04-Sep-2019,2
84367,63806,26344,Single,26-May-2019,1.5
45674,63806,26344,Single,04-Aug-2019,3
14740,63806,26344,Group,15-Apr-2019,1.5
69727,63806,26344,Single,14-Mar-2019,3
86080,63806,26344,Group,20-Jul-2019,3
00428,63806,26344,Group,02-Jun-2019,2
91173,63806,26344,Group,02-Sep-2019,1.5
48666,63806,26344,Single,28-Jan-2019,3
95321,63806,26344,Group,30-Jun-2019,3
95858,63806,26344,Group,28-Apr-2019,5
66528,63806,26344,Group,21-Jun-2019,1.5
83287,63806,26344,Single,22-Aug-2019,3
80378,63806,26344,Group,13-Feb-2019,3
85285,63806,26344,Single,01-Mar-2019,5
74403,63806,26344,Single,06-Aug-2019,1.5
99091,63806,26344,Single,25-Apr-2019,1.5
84654,63806,26344,Single,05-Sep-2019,5
66297,63806,26344,Single,18-Jul-2019,1.5
89763,63806,26344,Single,24-May-2019,5
92738,63806,26344,Single,01-Feb-2019,5
96136,63806,26344,Group,15-Feb-2019,5
05489,63806,26344,Group,22-Apr-2019,3
55608,63806,26344,Single,22-Mar-2019,3
47825,63806,26344,Single,08-Feb-2019,3
