cod_lez,cod_corso_l,cod_tess_ins_lez,tipo_lez,data_lez,durata_lez
96251,69902,26344,Group,03-Jul-2019,1.5
91255,69902,26344,Single,22-Apr-2019,5
31421,69902,26344,Group,30-Jun-2019,1.5
49845,69902,26344,Group,18-Jul-2019,3
84193,69902,26344,Group,30-Mar-2019,3
33240,69902,26344,Single,26-Feb-2019,3
67195,69902,26344,Single,08-Jun-2019,1.5
38109,69902,26344,Group,31-Aug-2019,1.5
91456,69902,26344,Single,27-Mar-2019,5
19597,69902,26344,Single,10-Mar-2019,3
49126,69902,26344,Group,08-Jan-2019,5
04415,69902,26344,Group,22-Mar-2019,1.5
31329,69902,26344,Single,29-Sep-2019,2
47085,69902,26344,Single,09-May-2019,2
66678,69902,26344,Group,19-Jul-2019,2
51839,69902,26344,Group,07-Aug-2019,3
86840,69902,26344,Single,30-Apr-2019,3
15499,69902,26344,Single,18-Oct-2019,1.5
25446,69902,26344,Group,04-Apr-2019,3
38009,69902,26344,Single,20-Apr-2019,3
15259,69902,26344,Single,04-Apr-2019,2
09830,69902,26344,Group,13-Oct-2019,3
22520,69902,26344,Single,08-May-2019,2
43498,69902,26344,Group,07-Aug-2019,1.5
22806,69902,26344,Single,12-Mar-2019,1.5
84970,69902,26344,Single,13-May-2019,2
32042,69902,26344,Single,04-Oct-2019,5
52839,69902,26344,Single,29-Aug-2019,5
65843,69902,26344,Single,03-Jun-2019,1.5
58800,69902,26344,Group,09-May-2019,2
00861,69902,26344,Single,25-Feb-2019,2
63306,69902,26344,Single,18-Jul-2019,3
15573,69902,26344,Single,17-Sep-2019,3
26904,69902,26344,Single,04-Feb-2019,3
24444,69902,26344,Group,01-May-2019,3
60599,69902,26344,Group,21-Oct-2019,1.5
76708,69902,26344,Single,06-Apr-2019,1.5
38997,69902,26344,Single,27-Apr-2019,2
58340,69902,26344,Single,19-Jul-2019,3
39750,69902,26344,Group,09-Sep-2019,3
18068,69902,26344,Group,31-Jul-2019,1.5
39272,69902,26344,Single,20-Feb-2019,3
66293,69902,26344,Group,31-Jan-2019,2
48149,69902,26344,Single,27-Aug-2019,2
91803,69902,26344,Group,08-Jun-2019,1.5
68512,69902,26344,Group,13-Jan-2019,3
76640,69902,26344,Single,10-Apr-2019,3
46171,69902,26344,Group,12-Aug-2019,2
35425,69902,26344,Group,22-Jan-2019,3
06792,69902,26344,Group,01-Oct-2019,5
82722,69902,26344,Single,07-Sep-2019,1.5
17119,69902,26344,Group,24-Apr-2019,3
27913,69902,26344,Group,06-Feb-2019,2
15516,69902,26344,Single,15-Feb-2019,5
48928,69902,26344,Group,02-Jul-2019,2
12701,69902,26344,Group,13-Aug-2019,5
45671,69902,26344,Single,13-Aug-2019,5
71703,69902,26344,Single,27-Apr-2019,1.5
14482,69902,26344,Group,27-Aug-2019,2
51856,69902,26344,Single,09-Jan-2019,2
43793,69902,26344,Group,15-Feb-2019,3
15198,69902,26344,Single,13-May-2019,5
88613,69902,26344,Group,22-Sep-2019,5
78504,69902,26344,Group,19-Mar-2019,1.5
01939,69902,26344,Single,07-Mar-2019,5
73657,69902,26344,Single,02-Jul-2019,2
76951,69902,26344,Group,29-Jun-2019,2
04636,69902,26344,Group,07-Oct-2019,2
65186,69902,26344,Single,13-May-2019,2
20580,69902,26344,Group,21-Mar-2019,1.5
59779,69902,26344,Group,15-Jan-2019,2
34798,69902,26344,Single,08-Sep-2019,2
50443,69902,26344,Single,09-May-2019,2
33777,69902,26344,Group,19-Jul-2019,5
11342,69902,26344,Single,24-Apr-2019,2
35939,69902,26344,Group,04-Apr-2019,3
62453,69902,26344,Single,08-Jan-2019,2
30786,69902,26344,Group,10-Jun-2019,1.5
24045,69902,26344,Group,07-Apr-2019,1.5
99587,69902,26344,Group,06-Mar-2019,2
23049,69902,26344,Group,04-May-2019,5
91896,69902,26344,Single,03-Jul-2019,3
76881,69902,26344,Group,17-Apr-2019,1.5
69828,69902,26344,Single,15-Apr-2019,5
90759,69902,26344,Group,24-May-2019,1.5
90846,69902,26344,Group,11-Aug-2019,3
85445,69902,26344,Single,11-Apr-2019,5
93465,69902,26344,Group,23-Jan-2019,5
04300,69902,26344,Group,02-Oct-2019,1.5
96678,69902,26344,Single,28-Apr-2019,1.5
63242,69902,26344,Single,10-May-2019,2
46665,69902,26344,Single,24-Apr-2019,5
73826,69902,26344,Single,09-Jun-2019,1.5
35689,69902,26344,Single,05-Aug-2019,3
59785,69902,26344,Group,01-Feb-2019,1.5
61426,69902,26344,Single,10-Apr-2019,3
54548,69902,26344,Single,28-Aug-2019,1.5
52550,69902,26344,Group,10-Jul-2019,1.5
99896,69902,26344,Single,25-Jul-2019,2
85934,69902,26344,Group,07-Apr-2019,2
